unique_id,unit_nr,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
524,72,0.002,-0.0001,100.0,518.67,643.66,1606.65,1433.07,14.62,21.61,550.78,2388.34,9024.27,1.3,48.26,519.44,2388.32,8099.94,8.5239,0.03,397,2388,100.0,38.46,22.9674
525,72,0.0,0.0001,100.0,518.67,643.9,1598.73,1436.24,14.62,21.61,550.68,2388.3,9028.24,1.3,48.1,520.18,2388.3,8101.49,8.5229,0.03,395,2388,100.0,38.45,23.0712
526,6,0.0014,-0.0004,100.0,518.67,643.47,1600.63,1434.92,14.62,21.61,550.7,2388.34,9027.96,1.3,48.21,518.98,2388.34,8102.82,8.5358,0.03,397,2388,100.0,38.42,22.9577
527,72,0.0007,-0.0003,100.0,518.67,643.91,1597.72,1427.84,14.62,21.61,550.89,2388.32,9033.07,1.3,48.17,519.48,2388.36,8103.27,8.5519,0.03,395,2388,100.0,38.46,23.1649
528,72,-0.0,-0.0002,100.0,518.67,643.3,1605.5,1428.53,14.62,21.61,551.91,2388.29,9029.88,1.3,48.23,519.45,2388.3,8103.77,8.5114,0.03,396,2388,100.0,38.39,23.0848
529,72,0.0011,0.0002,100.0,518.67,643.72,1600.33,1429.09,14.62,21.61,550.63,2388.34,9034.75,1.3,48.15,519.62,2388.33,8103.98,8.5147,0.03,394,2388,100.0,38.51,23.0211
530,90,0.003,-0.0001,100.0,518.67,643.6,1600.75,1420.57,14.62,21.61,551.07,2388.27,9037.76,1.3,48.11,519.95,2388.33,8104.46,8.4861,0.03,395,2388,100.0,38.36,23.1885
531,75,0.0003,0.0001,100.0,518.67,643.7,1600.8,1433.1,14.62,21.61,552.04,2388.31,9026.08,1.3,48.22,519.51,2388.3,8104.78,8.5097,0.03,395,2388,100.0,38.57,23.0341
532,72,-0.0002,-0.0003,100.0,518.67,644.31,1598.38,1430.17,14.62,21.61,551.68,2388.34,9026.17,1.3,48.23,519.86,2388.26,8104.82,8.5523,0.03,397,2388,100.0,38.44,23.0791
533,72,0.0004,-0.0001,100.0,518.67,642.99,1601.84,1427.06,14.62,21.61,551.13,2388.29,9031.29,1.3,47.98,520.06,2388.28,8105.22,8.5162,0.03,397,2388,100.0,38.41,23.0915
534,75,-0.0018,-0.0002,100.0,518.67,643.6,1596.2,1430.28,14.62,21.61,551.43,2388.27,9027.88,1.3,47.79,520.18,2388.28,8105.24,8.5033,0.03,397,2388,100.0,38.7,23.0906
